p	(av_abs_m)	susceptibility	binder cumulant
0.03	0.919734	0.231801	0.666089
0.114	0.63438	16.3932	0.615158
0.198	0.141473	6.63046	0.0771381
0.282	0.087847	2.6578	0.0137365
0.366	0.0682086	1.54636	0.0704481
0.032625	0.915711	0.258128	0.666018
0.116625	0.612108	17.5778	0.607383
0.200625	0.138331	6.38987	0.0846756
0.284625	0.0861395	2.55421	0.0156184
0.368625	0.0669779	1.57255	0.0278785
0.03525	0.912051	0.259828	0.666009
0.11925	0.576515	21.5928	0.58751
0.20325	0.13544	6.12091	0.0658813
0.28725	0.0864198	2.59092	0.0451881
0.37125	0.0669926	1.52823	0.0540211
0.037875	0.908228	0.283971	0.665942
0.121875	0.541224	24.4598	0.566716
0.205875	0.132416	6.10303	0.0457701
0.289875	0.0864358	2.57857	0.0446251
0.373875	0.0664416	1.54352	0.0148726
0.0405	0.904292	0.321869	0.665838
0.1245	0.515842	25.0588	0.551083
0.2085	0.130083	5.80634	0.0672043
0.2925	0.0838739	2.39259	0.0369338
0.3765	0.0670669	1.59773	-0.000840207
0.043125	0.90046	0.333112	0.665804
0.127125	0.489427	25.5494	0.535169
0.211125	0.12638	5.5556	0.0481857
0.295125	0.0850118	2.47149	0.0424149
0.379125	0.0652122	1.5122	0.0400313
0.04575	0.895611	0.365566	0.665711
0.12975	0.440045	27.7427	0.48978
0.21375	0.122586	5.28287	0.0300414
0.29775	0.0827725	2.39108	0.0331946
0.048375	0.891709	0.388138	0.665643
0.38175	0.0661856	1.55653	-0.00270572
0.132375	0.418355	27.5077	0.469614
0.216375	0.122541	5.23114	0.0218528
0.051	0.887291	0.415499	0.665563
0.300375	0.0802061	2.33062	-0.0150977
0.384375	0.0656358	1.48139	0.0234718
0.135	0.395552	25.9474	0.449863
0.219	0.121213	4.95379	0.0684332
0.053625	0.883082	0.457817	0.665449
0.303	0.0817146	2.40959	0.0143027
0.387	0.0651923	1.50972	0.010936
0.137625	0.372195	25.4723	0.426383
0.221625	0.114835	4.6065	0.0584488
0.05625	0.87833	0.482277	0.665366
0.305625	0.0808544	2.32463	0.0013083
0.14025	0.344274	24.1376	0.393481
0.389625	0.0645773	1.43915	0.0268769
0.058875	0.873706	0.509548	0.665278
0.22425	0.117548	4.73032	0.0530399
0.30825	0.0783533	2.1425	0.01161
0.142875	0.317905	22.8181	0.354591
0.39225	0.0645222	1.43622	0.042432
0.0615	0.868453	0.604131	0.665018
0.226875	0.113807	4.45528	0.0414473
0.310875	0.0785107	2.1372	0.0380576
0.1455	0.294559	21.1334	0.322058
0.394875	0.0632838	1.44288	0.00180873
0.064125	0.863533	0.675491	0.664861
0.2295	0.113636	4.38411	0.0606541
0.3135	0.0797779	2.19005	0.05902
0.148125	0.283503	20.3547	0.302152
0.3975	0.0620262	1.38734	-0.0252338
0.06675	0.858264	0.696897	0.664743
0.232125	0.111484	4.25204	0.0368884
0.15075	0.270228	18.7309	0.2944
0.316125	0.078073	2.14667	-0.00479494
0.069375	0.852989	0.761597	0.664527
0.400125	0.063063	1.41251	0.0096583
0.23475	0.109058	4.11052	0.0405072
0.153375	0.255193	17.1633	0.274867
0.31875	0.0776032	2.08905	0.00915265
0.072	0.845993	0.870747	0.664215
0.40275	0.0620947	1.39305	-0.00591443
0.237375	0.108658	4.018	0.034857
0.156	0.242975	16.0363	0.253709
0.321375	0.0774842	2.02326	0.0614334
0.074625	0.839941	1.00638	0.663815
0.405375	0.0626374	1.37689	0.0266722
0.24	0.105848	3.91357	0.0353772
0.158625	0.227924	15.1155	0.216925
0.07725	0.832959	1.08498	0.663528
