p	(av_abs_m)	susceptibility	binder cumulant
0.03	0.216033	19.6029	0.20686
0.11	0.10256	5.35811	0.0321902
0.15	0.0869341	3.75372	0.0483668
0.07	0.135612	8.85993	0.0747775
0.27	0.0601748	1.85852	-0.00402016
0.23	0.0663678	2.20473	0.0228417
0.31	0.0555111	1.58287	0.000528963
0.19	0.0750959	2.87905	0.0246643
0.0314815	0.208036	18.7814	0.194104
0.111481	0.103899	5.34583	0.0566183
0.151481	0.0847174	3.72783	0.0132532
0.0714815	0.133054	8.49388	0.0824627
0.271481	0.0596144	1.76682	0.0480302
0.311481	0.0554856	1.58152	-0.00401397
0.231481	0.0651907	2.1517	0.0313087
0.191481	0.0744281	2.6441	0.0653605
0.032963	0.206286	18.6072	0.191299
0.112963	0.103417	5.14603	0.0683376
0.152963	0.0839652	3.59036	0.0195139
0.072963	0.131308	8.2866	0.069388
0.272963	0.0589822	1.71865	0.0302543
0.312963	0.0557115	1.52992	0.0274172
0.232963	0.0653463	2.16449	0.0155155
0.192963	0.0736815	2.68824	0.0341923
0.0344444	0.199417	16.9085	0.188135
0.114444	0.102606	5.21815	0.0556093
0.154444	0.084413	3.71197	0.0126495
0.0744444	0.131312	8.15637	0.0939812
0.274444	0.0597981	1.8359	0.0222755
0.314444	0.0542063	1.53981	-0.0211956
0.234444	0.0654719	2.16682	0.0254353
0.194444	0.07414	2.76524	0.0322435
0.0359259	0.195629	17.1962	0.175368
0.115926	0.101722	5.13357	0.0286135
0.155926	0.0838904	3.52726	0.024177
0.0759259	0.130544	8.16413	0.0848837
0.275926	0.05912	1.77873	0.030291
0.315926	0.054637	1.48905	0.0166666
0.235926	0.0645974	2.14117	0.0236482
0.195926	0.0731456	2.72131	0.0108622
0.0374074	0.192873	16.0445	0.172235
0.117407	0.0985715	4.85731	0.0402129
0.157407	0.0839519	3.45389	0.0636755
0.0774074	0.126206	7.95632	0.0648005
0.277407	0.0593967	1.78202	0.0280235
0.317407	0.0547863	1.53015	0.0194454
0.237407	0.0653767	2.13255	0.0151096
0.197407	0.071523	2.53425	0.0214629
0.0388889	0.186177	15.8042	0.143115
0.118889	0.099127	4.94522	0.0286835
0.158889	0.0833285	3.44536	0.0515037
0.0788889	0.127359	7.85627	0.0724308
0.278889	0.0582711	1.7329	0.0135847
0.318889	0.0533044	1.45811	0.00299285
0.238889	0.0636356	2.09084	-0.0122968
0.198889	0.0724211	2.70991	0.0235501
0.0403704	0.185691	15.2672	0.15027
0.12037	0.099037	4.91038	0.0392078
0.16037	0.0819681	3.4015	0.02007
0.0803704	0.124167	7.75416	0.033319
0.28037	0.058903	1.79809	-0.0160765
0.32037	0.0539752	1.46665	0.0171436
0.24037	0.0642967	2.0466	0.0301443
0.20037	0.0724696	2.64619	0.0211973
0.0418519	0.182174	15.0192	0.156968
0.121852	0.0958252	4.69073	0.018976
0.161852	0.0791478	3.27311	0.0266385
0.0818519	0.1242	7.3912	0.0885407
0.281852	0.0586437	1.78095	0.011554
0.321852	0.0540011	1.48884	-0.015967
0.241852	0.0645374	2.13322	0.00582942
0.201852	0.0718511	2.55448	0.0403384
0.0433333	0.180114	14.5714	0.164022
0.123333	0.0961715	4.6679	0.0484009
0.163333	0.0813393	3.36381	-0.00932814
0.0833333	0.123637	7.33252	0.099539
0.283333	0.0582315	1.73081	0.00210119
0.323333	0.0535411	1.46925	0.00798709
0.243333	0.0636185	1.98429	0.0627617
0.203333	0.0711752	2.61965	-0.00827289
0.0448148	0.175983	14.8076	0.108452
0.124815	0.0962548	4.52003	0.0520666
0.164815	0.0814815	3.27193	0.0428888
0.0848148	0.121437	7.11349	0.0756032
0.284815	0.0584493	1.72795	0.018018
0.324815	0.0531041	1.43045	0.0256889
0.244815	0.0637863	2.06319	0.0242108
0.204815	0.0707933	2.57582	-0.00645781
0.0462963	0.170333	13.1973	0.13054
0.126296	0.0966956	4.5743	0.060076
0.166296	0.081523	3.31281	0.0391549
0.0862963	0.120985	7.08429	0.0760291
0.286296	0.0573044	1.69505	-0.00110362
0.326296	0.0534759	1.46032	0.0123505
0.246296	0.0635874	2.02343	-0.00263011
0.206296	0.0698511	2.55014	-0.0124003
0.0477778	0.167654	12.8243	0.147294
0.127778	0.0950074	4.50718	0.0420606
0.167778	0.0806656	3.33996	0.0154029
0.0877778	0.118171	6.85216	0.0648026
0.287778	0.0584215	1.70414	0.0392686
0.327778	0.0533322	1.43648	0.0378357
0.247778	0.0622344	1.96282	0.0281481
0.207778	0.0707567	2.50102	0.00999393
0.0492593	0.165732	12.3418	0.147173
0.129259	0.0931619	4.36917	0.0235066
0.169259	0.0799374	3.1698	0.0444256
0.0892593	0.117682	6.76157	0.058098
0.289259	0.0580759	1.69953	0.0236012
0.329259	0.0533837	1.45796	0.00205846
0.249259	0.0625378	1.95419	0.0170963
0.209259	0.0691815	2.50074	-0.0225372
0.0507407	0.165052	12.7332	0.116837
0.130741	0.0936204	4.32914	0.0559319
0.170741	0.078833	3.13807	0.0361375
0.0907407	0.1168	6.86186	0.0512671
0.290741	0.0560789	1.64927	-0.0191582
0.330741	0.0536196	1.4797	0.000371298
0.250741	0.0625119	2.02161	-0.0244691
0.210741	0.0709719	2.54212	0.0399513
0.0522222	0.159371	12.132	0.101338
0.132222	0.0908537	4.23504	-0.00449164
0.172222	0.0788607	3.05533	0.0438699
0.0922222	0.115243	6.61186	0.0439503
0.292222	0.0574204	1.70159	0.0164322
0.332222	0.0526952	1.46071	-0.0192321
0.252222	0.0619804	1.94582	0.0205374
0.212222	0.0696104	2.46633	0.0279965
0.0537037	0.156557	11.3767	0.115027
0.133704	0.0903074	4.07658	0.0422927
0.173704	0.0783126	3.03193	0.0373999
0.0937037	0.113638	6.30882	0.0499749
0.293704	0.0578074	1.75045	-0.029025
0.333704	0.0527404	1.48167	-0.0258917
0.253704	0.061933	1.96871	-0.00482572
0.213704	0.0678919	2.33739	-0.0101743
0.0551852	0.15507	10.9842	0.139833
0.135185	0.0903937	3.9907	0.0454561
0.175185	0.0779067	3.00774	0.0393259
0.0951852	0.114917	6.22438	0.0966397
0.295185	0.0568556	1.64408	0.0229846
0.335185	0.0538441	1.4449	0.0218787
0.255185	0.0613459	1.94518	-0.00444283
0.215185	0.0697559	2.39774	0.0446666
0.0566667	0.15298	10.7992	0.111916
0.136667	0.09202	4.08915	0.0596617
0.176667	0.0761878	3.01249	0.00182068
0.0966667	0.110008	6.09552	0.0336343
0.296667	0.0568326	1.62021	0.0297655
0.336667	0.0528648	1.40837	0.0356603
0.256667	0.06137	1.97211	-0.00101664
0.0581481	0.150695	10.6953	0.109523
0.216667	0.0696244	2.38776	0.0454101
0.138148	0.0911033	4.23094	0.0168156
0.178148	0.0762941	2.93764	0.0254886
0.0981481	0.111473	6.21688	0.0478353
0.298148	0.0559956	1.57927	0.000645206
0.338148	0.0529104	1.42107	0.0169677
0.258148	0.0619126	1.94217	0.0352601
0.0596296	0.148548	10.5509	0.0960322
0.218148	0.0682022	2.35854	0.0121105
0.13963	0.0900622	4.09804	0.0194603
0.17963	0.0786204	3.11728	0.0115362
0.0996296	0.108829	6.05167	0.0131673
0.29963	0.0564267	1.58205	0.0147005
0.33963	0.0525548	1.37088	0.0158855
0.0611111	0.14679	10.083	0.112387
